2389	1996	"02389.txt"	"02389.pdf"	3
2764	1997	"02764.txt"	"02764.pdf"	2
2910	1998	"02910.txt"	"02910.pdf"	1
3167	1999	"03167.txt"	"03167.pdf"	1
3451	2000	"03451.txt"	"03451.pdf"	1
3721	2001	"03721.txt"	"03721.pdf"	1
4009	2002	"04009.txt"	"04009.pdf"	1
4360	2003	"04360.txt"	"04360.pdf"	1
4466	2004	"04466.txt"	"04466.pdf"	1
4717	2005	"04717.txt"	"04717.pdf"	1
6036	1991	"06036.txt"	"06036.txt"	7
6316	1992	"06316.txt"	"06316.txt"	6
6669	1994	"06669.txt"	"06669.pdf"	5
6850	1995	"06850.txt"	"06850.pdf"	4
8703	1977	"08703.txt"	"08703.pdf"	12
8703	1978	"08703.txt"	"08703.pdf"	12
8703	1979	"08703.txt"	"08703.pdf"	12
8703	1980	"08703.txt"	"08703.pdf"	12
8703	1981	"08703.txt"	"08703.pdf"	12
8703	1982	"08703.txt"	"08703.pdf"	12
8703	1983	"08703.txt"	"08703.pdf"	12
8714	1984	"08714.txt"	"08714.pdf"	13
9119	1986	"09119.txt"	"09119.pdf"	12
9252	1985	"09252.txt"	"09252.pdf"	11
9252	1987	"09252.txt"	"09252.pdf"	11
9335	1988	"09335.txt"	"09335.txt"	10
9573	1989	"09573.txt"	"09573.pdf"	9
9785	1990	"09785.txt"	"09785.txt"	8
23780	2006	"23780.txt"	"23780.pdf"	1
25114	2007	"25114.txt"	"25114.pdf"	1
27644	2008	"27644.txt"	"27644.pdf"	1
