"ICPSR STUDY NUMBER-6316"	"ICPSR STUDY NUMBER-6316"		"1-4"	4	"1,2,3"
"ICPSR EDITION NUMBER"	"ICPSR EDITION NUMBER"		5	1	"1,2,3"
"ICPSR PART NUMBER"	"ICPSR PART NUMBER"		6	1	"1,2,3"
"ICPSR SEQ CASE ID NUMBER"	"ICPSR SEQ CASE ID NUMBER"		"7-10"	4	"1,2,3"
"FIPS STATE CODE"	"FIPS STATE CODE"		"11-12"	2	"1,2,3"
"FIPS COUNTY CODE"	"FIPS COUNTY CODE"		"13-15"	3	"1,2,3"
"COUNTY POPULATION-TOTAL"	"COUNTY POPULATION-TOTAL"		"16-22"	7	"1,2,3"
"COUNTY POPULATION OF"	"COUNTY POPULATION OF"		"23-29"	7	"1,2,3"
"MULTI-COUNTY JURISDICTION FLAG"	"MULTI-COUNTY JURISDICTION FLAG"		30	1	"1,2,3"
"GRAND TOTAL"	"GRAND TOTAL"		"31-36"	6	"1,2,3"
"PART 1-TOTAL"	"PART 1-TOTAL"		"37-42"	6	"1,2,3"
"PART 1-VIOLENT CRIMES"	"PART 1-VIOLENT CRIMES"		"43-47"	5	"1,2,3"
"PART 1-PROPERTY CRIMES"	"PART 1-PROPERTY CRIMES"		"48-52"	5	"1,2,3"
"MURDERS"	"MURDERS"	11	"53-56"	4	"1,2,3"
"RAPES"	"RAPES"	2	"57-60"	4	"1,2,3"
"ROBBERIES"	"ROBBERIES"	3	"61-65"	5	"1,2,3"
"AGGRAVATED ASSAULTS"	"AGGRAVATED ASSAULTS"	4	"66-70"	5	"1,2,3"
"BURGLARIES"	"BURGLARIES"	5	"71-75"	5	"1,2,3"
"LARCENIES"	"LARCENIES"	6	"76-80"	5	"1,2,3"
"MOTOR VEHICLE THEFTS"	"MOTOR VEHICLE THEFTS"	7	"81-85"	5	"1,2,3"
"ARSONS"	"ARSONS"	9	"86-88"	3	"1,2,3"
